"Nama","shift_maks","Preferensi_shift"
Budi Santoso,5,Siang
Siti Aminah,7,Pagi
Eko Prasetyo,6,Pagi dan Malam
Dewi Lestari,5,Pagi Siang dan Malam
Joko Susilo,8,Pagi Siang dan Malam
Ani Wijayanti,4,Pagi dan Siang
Hendra Gunawan,6,Malam
Maya Sari,5,Pagi
Agus Nugroho,7,Pagi Siang dan Malam
Rina Hartati,6,Siang dan Malam
Dian Pratama,5,Pagi dan Siang
Rizky Maulana,6,Malam
Fitri Handayani,7,Pagi
Andi Setiawan,4,Pagi Siang dan Malam
Wulan Permata,6,Siang
Bambang Irawan,5,Siang dan Malam
Lia Kurnia,7,Pagi Siang dan Malam
Fajar Hidayat,6,Pagi dan Malam
Nurul Aini,5,Pagi Siang dan Malam
Teguh Widodo,7,Pagi
Indah Puspita,6,Malam
Yusuf Ibrahim,5,Pagi dan Siang
Putri Utami,7,Pagi
Ahmad Zulkarnain,4,Siang dan Malam
Citra Kirana,6,Pagi Siang dan Malam
Guntur Saputra,5,Pagi Siang dan Malam
Linda Wati,7,Siang
Heru Setiadi,6,Pagi dan Malam
Dina Amelia,5,Pagi
Surya Adi,7,Pagi Siang dan Malam
Vina Oktavia,6,Siang dan Malam
Iwan Kusuma,5,Malam
Kartika Chandra,7,Pagi dan Siang
Bayu Perdana,4,Siang
Siska Ramadhani,6,Pagi Siang dan Malam
Doni Firmansyah,5,Pagi dan Malam
Ratna Juwita,7,Pagi Siang dan Malam
Reza Pahlevi,6,Siang
Nadia Farida,5,Pagi
Dimas Anggara,7,Malam
Eva Yuliana,6,Pagi Siang dan Malam
Farhan Abdullah,5,Pagi dan Siang
Tri Mulyani,7,Siang dan Malam
Gilang Ramadhan,4,Pagi dan Malam
Zahra Nabila,6,Pagi
Wahyu Triyono,5,Pagi Siang dan Malam
Chintya Bella,7,Siang
Yoga Pratama,6,Pagi Siang dan Malam
Rini Astuti,5,Pagi dan Malam
